id,url,titre,adresse,categorie,categorie_source,type_projet,montant_initial,montant_actuel,nombre_contributions,nombre_commentaires,nombre_videos,nombre_images,nombre_publications
89894,https://fr.ulule.com/bati_lampeaconstruire/,BATÌ,Paris,Enfance & Educ.,artisanat_cuisine,euros,8000.0,8650.0,152.0,216,1,44,15
98903,https://fr.ulule.com/chrysfab/,CHRYSFAB,Saint-Nazaire,Solidaire & Citoyen,artisanat_cuisine,euros,4000.0,4282.0,49.0,74,0,14,10
96134,https://fr.ulule.com/les-elixirs-maison-payen-1730/,Soins bio du patrimoine écolo,Marseille,Santé & Bien-être,artisanat_cuisine,prevente,200.0,215.0,90.0,70,1,16,5
98237,https://fr.ulule.com/lulugreen-cosmetiques-naturels-zero-dechets/,"LULUGREEN, cosmétiques naturels, BIO, zéro déchet",IGUERANDE,Santé & Bien-être,artisanat_cuisine,euros,3000.0,3435.0,100.0,161,0,31,14
98414,https://fr.ulule.com/solutionlplg/,La Plane et La Gouge,Versailles,Technologie,artisanat_cuisine,euros,2000.0,2240.0,36.0,50,1,16,1
95982,https://fr.ulule.com/bricole-social-club/,Le Bricole Social Club à Guillotière,Lyon,Solidaire & Citoyen,artisanat_cuisine,euros,7777.0,8431.0,235.0,176,0,9,7
97643,https://fr.ulule.com/detective-ska-company/,Detective SKA Company,La Roche-sur-Yon,Musique,artisanat_cuisine,euros,1150.0,1180.0,76.0,57,0,7,0
93750,https://fr.ulule.com/lajuparis/,laju,Paris,Mode & Design,artisanat_cuisine,prevente,50.0,143.0,129.0,174,1,31,10
93902,https://fr.ulule.com/sederoni-france-ambiance-cosy/,Sederoni France - Ambiance Cosy Made in France,Maubec,Santé & Bien-être,artisanat_cuisine,euros,5000.0,5290.0,36.0,65,1,38,10
94570,https://fr.ulule.com/lucky-tacos-food-truck/,Lucky Tacos - Food Truck,France,Autres projets,artisanat_cuisine,euros,1200.0,1200.0,16.0,25,0,11,0
99458,https://fr.ulule.com/cantine-du-quotidien-2eme-impression/,CANTINE DU QUOTIDIEN // Livre de cuisine,Toulouse,Édition & Média,artisanat_cuisine,prevente,150.0,162.0,127.0,79,1,8,2
88691,https://fr.ulule.com/ernest-et-lulu/,ernest&lulu - Le mouchoir bio et responsable,,Santé & Bien-être,artisanat_cuisine,prevente,100.0,458.0,303.0,401,1,39,12
